bhk,type,locality,area,price,price_unit,region,status,age
1,Apartment,Shubh Shreeji Heights,382,28.61,L,Badlapur East,Ready to move,New
1,Apartment,A Plus Golden Corner,535,17.65,L,Badlapur West,Under Construction,New
1,Apartment,A Plus Golden Corner,565,18.64,L,Badlapur West,Under Construction,New
1,Studio Apartment,A Plus Golden Corner,380,13.68,L,Badlapur West,Under Construction,New
1,Apartment,A Plus Golden Veda,345,19.91,L,Badlapur West,Ready to move,New
1,Apartment,A Plus Golden Veda,352,20.5,L,Badlapur West,Ready to move,New
1,Apartment,A Plus Golden Veda,294,16,L,Badlapur West,Ready to move,New
1,Apartment,A Plus Golden Veda,366,21.28,L,Badlapur West,Ready to move,New
1,Apartment,A Plus Golden Veda,333,19.33,L,Badlapur West,Ready to move,New
1,Apartment,A Plus Golden Veda,358,20.89,L,Badlapur West,Ready to move,New
1,Apartment,A Plus Golden Veda,372,21.67,L,Badlapur West,Ready to move,New
1,Apartment,A Plus Golden Veda,380,22.06,L,Badlapur West,Ready to move,New
1,Apartment,Unimont Imperia,675,30,L,Khopoli,Under Construction,New
1,Apartment,Unimont Imperia,675,30,L,Khopoli,Under Construction,New
2,Apartment,Unimont Imperia,970,42.75,L,Khopoli,Under Construction,New
2,Apartment,Unimont Imperia,970,42.75,L,Khopoli,Under Construction,New
1,Apartment,Unimont Imperia,605,26.5,L,Khopoli,Under Construction,New
1,Apartment,Unimont Imperia,605,26.5,L,Khopoli,Under Construction,New
1,Apartment,Unimont Imperia,555,24,L,Khopoli,Under Construction,New
1,Apartment,Unimont Imperia,555,24,L,Khopoli,Under Construction,New
1,Apartment,Unimont Imperia,665,29.5,L,Khopoli,Under Construction,New
1,Apartment,Unimont Imperia,665,29.5,L,Khopoli,Under Construction,New
1,Apartment,Unimont Imperia,615,27,L,Khopoli,Under Construction,New
1,Apartment,Unimont Imperia,615,27,L,Khopoli,Under Construction,New
2,Apartment,Unimont Imperia,975,43,L,Khopoli,Under Construction,New
2,Apartment,Unimont Imperia,975,43,L,Khopoli,Under Construction,New
1,Apartment,Unimont Imperia,535,22,L,Khopoli,Under Construction,New
1,Apartment,Unimont Imperia,535,22,L,Khopoli,Under Construction,New
1,Apartment,Unimont Imperia,545,23.5,L,Khopoli,Under Construction,New
1,Apartment,Unimont Imperia,545,23.5,L,Khopoli,Under Construction,New
2,Apartment,Unimont Imperia,930,41,L,Khopoli,Under Construction,New
2,Apartment,Unimont Imperia,930,41,L,Khopoli,Under Construction,New
1,Apartment,Unimont Imperia,565,24.5,L,Khopoli,Under Construction,New
1,Apartment,Unimont Imperia,565,24.5,L,Khopoli,Under Construction,New
